mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
13.144,0.93,0.145,0.048,0.17800000000000002,0.079,0.45,5.152,0.0
13.318,0.934,0.13,0.049,0.165,0.077,0.42200000000000004,5.297999999999999,0.0
13.225999999999999,0.9390000000000001,0.157,0.047,0.161,0.078,0.44299999999999995,5.3229999999999995,0.0
13.327,0.934,0.13,0.046,0.16699999999999998,0.076,0.419,5.212999999999999,0.0
13.157,0.925,0.177,0.048,0.18100000000000002,0.078,0.483,5.303,0.0
13.492,0.9359999999999999,0.156,0.045,0.157,0.073,0.431,5.21,0.0
13.415,0.9359999999999999,0.13699999999999998,0.042,0.16399999999999998,0.069,0.41200000000000003,5.228,0.0
13.42,0.932,0.124,0.044000000000000004,0.166,0.079,0.413,5.352,0.0
13.360999999999999,0.932,0.142,0.044000000000000004,0.17300000000000001,0.081,0.44,5.233,0.0
13.489,0.9359999999999999,0.154,0.040999999999999995,0.16399999999999998,0.073,0.433,5.194,0.0
13.283,0.935,0.139,0.04,0.161,0.07,0.41100000000000003,5.186,0.0
13.418,0.935,0.16899999999999998,0.040999999999999995,0.155,0.069,0.434,5.23,0.0
13.541,0.936,0.164,0.04,0.161,0.071,0.435,5.773,0.0
13.312,0.94,0.161,0.039,0.151,0.071,0.422,5.575,0.0
13.555,0.938,0.136,0.038,0.159,0.07,0.404,5.556,0.0
13.563,0.934,0.162,0.041,0.162,0.071,0.436,5.676,0.0
13.6,0.94,0.161,0.037,0.154,0.07,0.422,5.486,0.0
13.635,0.93,0.172,0.039,0.167,0.071,0.448,5.473,0.0
13.659,0.94,0.139,0.038,0.141,0.069,0.386,5.44,0.0
13.611,0.938,0.129,0.038,0.15,0.066,0.383,5.417,0.0
13.593,0.938,0.13,0.037,0.156,0.066,0.389,5.515,0.0
13.372,0.939,0.144,0.035,0.158,0.064,0.402,5.417,0.0
13.504,0.934,0.156,0.038,0.165,0.067,0.426,5.371,0.0
13.366,0.943,0.13,0.038,0.152,0.069,0.389,5.275,0.0
13.598,0.935,0.166,0.035,0.156,0.064,0.422,5.322,0.0
13.693,0.948,0.124,0.032,0.134,0.059,0.35,5.289,0.0
13.516,0.943,0.136,0.033,0.137,0.062,0.369,5.399,0.0
